iter	Passed	Remaining
398	233521	351745
399	234193	351290
400	234670	350543
401	235275	349986
402	235819	349340
403	236418	348776
404	237002	348189
405	237640	347680
406	238305	347211
407	238907	346650
408	239562	346164
409	240159	345594
410	240639	344858
411	241279	344350
412	241850	343743
413	242442	343166
414	242988	342525
415	243544	341898
416	244174	341375
417	244752	340779
418	245312	340159
419	245921	339605
420	246552	339082
421	247167	338537
422	247734	337925
423	248373	337413
424	248934	336794
425	249461	336129
426	249704	335083
427	250319	334538
428	250887	333932
429	251512	333400
430	252146	332880
431	252755	332327
432	253348	331752
433	253974	331219
434	254490	330545
435	255103	329995
436	255668	329384
437	256300	328860
438	256941	328346
439	257549	327790
440	258019	327058
441	258631	326508
442	259284	326008
443	259980	325561
444	260219	324543
445	260876	324047
446	261554	323578
447	262128	322980
448	262736	322422
449	263332	321851
450	264008	321376
451	264669	320882
452	265290	320340
453	265861	319735
454	266477	319187
455	266993	318518
456	267608	317968
457	268231	317427
458	268813	316836
459	269438	316297
460	270053	315745
461	270659	315184
462	271263	314618
463	271976	314179
464	272672	313719
465	273277	313155
466	273956	312674
467	274567	312115
468	275181	311559
469	275843	311058
470	276494	310542
471	277118	309996
472	277750	309459
473	278436	308982
474	279010	308379
475	279644	307843
476	280276	307305
477	280938	306798
478	281434	306111
479	281634	305103
480	282259	304558
481	282878	304006
482	283429	303381
483	284020	302798
484	284655	302262
485	285180	301611
486	285783	301040
487	286384	300469
488	286987	299899
489	287575	299313
490	288226	298792
491	288890	298285
492	289533	297755
493	290113	297160
494	290695	296568
495	291314	296013
496	291873	295397
497	292533	294883
498	293209	294384
499	293928	293928
500	294624	293448
501	295319	292966
502	295967	292437
503	296638	291929
504	297272	291386
505	297925	290860
506	298558	290314
507	299172	289749
508	299798	289196
509	300399	288618
510	301123	288159
511	301748	287604
512	302347	287023
513	302966	286462
514	303608	285922
515	304244	285376
516	304886	284836
517	305367	284145
518	306024	283617
519	306687	283096
520	307314	282540
521	307873	281922
522	308561	281422
523	309146	280828
524	309766	280264
525	310458	279766
526	311105	279227
527	311733	278670
528	312370	278122
529	313053	277613
530	313668	277044
531	314114	276326
532	314726	275755
533	315247	275103
534	315854	274527
535	316443	273936
536	316922	273249
537	317475	272628
538	318111	272076
539	318774	271548
540	319428	271012
541	320126	270512
542	320781	269976
543	321424	269429
544	322105	268913
545	322808	268416
546	323432	267851
547	324019	267257
548	324681	266723
549	325380	266220
550	326023	265671
551	326661	265116
552	327326	264583
553	327920	263993
554	328553	263435
555	329168	262861
556	329824	262320
557	330459	261761
558	331096	261204
559	331715	260633
560	332314	260046
561	332926	259469
562	333543	258896
563	334132	258300
564	334703	257692
565	335416	257191
566	336097	256667
567	336798	256156
568	337511	255654
569	338219	255148
570	338861	254590
571	339564	254079
572	340227	253537
573	340850	252965
574	341499	252412
575	342142	251854
576	342888	251372
577	343470	250768
578	344057	250169
579	344730	249632
580	345310	249027
581	345897	248427
582	346532	247862
583	347116	247260
584	347705	246663
585	348251	246034
586	348852	245444
587	349493	244882
588	350129	244317
589	350816	243787
590	351497	243252
591	352194	242728
592	352930	242230
593	353595	241682
594	354338	241188
595	355023	240653
596	355714	240122
597	356734	239811
598	357558	239367
599	358568	239045
600	359313	238545
601	359995	238003
602	360705	237479
603	361433	236966
604	362120	236425
605	362911	235952
606	363647	235442
607	364495	235003
608	365242	234499
609	365942	233963
610	366658	233437
611	367425	232942
612	368238	232476
613	368930	231933
614	369676	231423
615	370326	230852
616	371049	230327
617	371762	229794
618	372388	229208
619	373194	228732
620	373861	228170
621	374652	227682
622	375661	227326
623	376265	226724
624	376998	226199
625	377692	225650
626	378233	225009
627	378903	224445
628	379524	223852
629	380175	223277
630	380836	222707
631	381450	222110
632	381934	221437
633	382550	220841
634	383242	220288
635	383920	219728
636	384578	219155
637	385307	218622
638	386010	218074
639	386763	217554
640	387472	217008
641	388304	216531
642	389054	216007
643	389821	215491
644	390628	214997
645	391470	214521
646	392272	214021
647	392992	213477
648	393685	212918
649	394341	212337
650	395196	211863
651	395896	211306
652	396607	210754
653	397282	210183
654	398026	209647
655	398901	209180
656	399852	208751
657	400695	208263
658	401596	207806
659	402380	207287
660	403143	206755
661	404032	206288
662	405074	205897
663	406078	205485
664	407093	205077
665	407829	204527
666	408626	204006
667	409478	203513
668	410405	203055
669	411204	202533
670	412005	202011
671	412728	201450
672	413391	200860
673	414056	200270
674	414805	199721
675	415628	199206
676	416485	198707
677	417297	198185
678	418091	197654
679	418949	197152
680	419715	196606
681	420557	196095
682	421293	195534
683	422015	194966
684	422664	194363
685	423364	193784
686	424039	193194
687	424668	192582
688	425340	191989
689	426092	191433
690	426798	190855
691	427399	190229
692	428098	189648
693	428709	189027
694	429353	188421
695	430331	187960
696	431040	187382
697	431689	186776
698	432394	186195
699	433148	185635
700	433807	185033
701	434457	184427
702	435112	183824
703	435643	183168
704	436386	182601
705	437156	182045
706	438095	181558
707	438913	181020
708	439694	180467
709	440460	179906
710	441305	179377
711	442060	178810
712	442682	178190
713	444008	177852
714	445014	177383
715	445831	176838
